id	timestamp	hypothesis	change	result	decision	evidence
repository-structure-phase-39-final-275	2026-09-02T21:41:44.3803937+09:00	Focused workflow graph modules should preserve missing, empty, linear, branch, Gmail injection, layout, node display, edge labels, change markers, and public exports	Moved draft-to-flow context, graph contracts, node emission, recursive sequence handling, and top-level assembly into focused modules behind the existing facade	PASS	KEEP	draft-to-flow.ts 107 lines; context 17/contracts 24/nodes 126/sequence 85; graph regression 5/5; Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS
repository-structure-phase-40-baseline-276	2026-09-02T21:46:41.0722289+09:00	Workspace sidebar responsibilities can be separated behind the existing public component path without changing DOM behavior or callbacks	Measured the current 407-line component and ran the frozen desktop typecheck/build before implementation	PASS	BASELINE	WorkspaceSidebar.tsx 407 lines; focused directory absent; desktop typecheck/build PASS
repository-structure-phase-40-final-277	2026-09-02T21:50:11.5930868+09:00	Focused sidebar modules should preserve navigation, saved-work actions, settings and connector status, approval/activity messages, recent sessions, accessibility labels, and callbacks	Moved sidebar model, navigation, work, settings, status, and session rendering into focused modules behind the existing facade	PASS	KEEP	WorkspaceSidebar.tsx 102 lines; model 74/navigation 56/session-list 53/settings-panel 174/status-panel 17/work-panel 57; Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS
repository-structure-phase-41-baseline-278	2026-09-02T21:53:30.8904792+09:00	useWorkspaceChat operation groups can be separated behind the existing public hook without changing state or IPC semantics	Measured the current 427-line hook and ran the frozen desktop typecheck/build before implementation	PASS	BASELINE	useWorkspaceChat.ts 427 lines; focused directory absent; desktop typecheck/build PASS
repository-structure-phase-41-final-279	2026-09-02T21:57:32.6805140+09:00	Focused Workspace chat actions should preserve session epoch guards, IPC ordering, optimistic persistence, workflow mapping, approval handling, source updates, and public hook returns	Moved shared context and session, message, workflow, and source actions into focused modules behind the existing hook facade	PASS	KEEP	useWorkspaceChat.ts 145 lines; contracts 52/message-actions 122/session-actions 148/source-actions 53/workflow-actions 39; Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS
repository-structure-phase-33-final-261	2026-09-02T20:49:42.0814468+09:00	Focused CLI process modules should preserve environment resolution, execution limits, process lifecycle, and public exports	Moved environment/path discovery and child-process runners into focused modules behind cli-process.ts	PASS	KEEP	cli-process.ts 9 lines; contracts 10; environment 113; runner 166; Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS
repository-structure-phase-33-baseline-260	2026-09-02T20:46:59.2168112+09:00	CLI environment resolution and child-process execution can be split behind the existing public module	Measured the current 285-line module and ran the frozen import and CLI/model regressions before implementation	PASS	BASELINE	cli-process.ts 285 lines; focused directory absent; Core typecheck PASS; CLI process and model adapter regression 29/29 PASS
repository-structure-phase-32-final-259	2026-09-02T20:45:05.9388208+09:00	Focused HTTP connection modules should preserve contracts, parsing, secrets, status, endpoint selection, and public exports	Moved connection contracts, endpoint parsing/serialization, secret handling, and status/matching logic into focused modules behind connection.ts	PASS	KEEP	connection.ts 32 lines; contracts 66; parse 98; secrets 62; status 69; Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS
repository-structure-phase-32-baseline-258	2026-09-02T20:42:10.6652117+09:00	HTTP connection contracts, endpoint parsing, secret handling, and status calculation can be split behind the existing public module	Measured the current 280-line module and ran the frozen import and HTTP regressions before implementation	PASS	BASELINE	connection.ts 280 lines; focused directory absent; Core typecheck PASS; HTTP connection, request, and URL-security regression 36/36 PASS
repository-structure-phase-31-final-257	2026-09-02T20:40:09.7791903+09:00	Focused CLI JSON modules should preserve parsing, recovery, provider schema conversion, and public exports	Moved response parsing and Zod/provider schema conversion into focused modules behind cli-json.ts	PASS	KEEP	cli-json.ts 9 lines; parser 146; schema 149; Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS
repository-structure-phase-31-crash-256	2026-09-02T20:39:07.9523223+09:00	The extracted CLI JSON parser should preserve fenced JSON extraction	Initial parser extraction omitted the opening slash of the fenced JSON regular expression, causing parser calls to treat the fence as a callable string	PASS	CRASH	Core typecheck and JSON regression failed during the first extraction; restored the original regular expression and reran both checks successfully
repository-structure-phase-31-baseline-255	2026-09-02T20:35:36.7294881+09:00	CLI JSON parsing and provider schema conversion can be split behind the existing public module	Measured the current 303-line module and ran the frozen import and CLI JSON regressions before implementation	PASS	BASELINE	cli-json.ts 303 lines; focused directory absent; Core typecheck PASS; CLI JSON and model output regression 23/23 PASS
repository-structure-phase-30-final-254	2026-09-02T20:32:38.3012666+09:00	Focused Slack Socket Mode modules should preserve the public API, diagnostics, lifecycle, event translation, and secret handling	Moved SDK diagnostics/error redaction and listener lifecycle/event translation into focused modules behind socket-mode.ts	PASS	KEEP	socket-mode.ts 6 lines; contracts 8; diagnostics 145; listener 163; Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS
repository-structure-phase-30-crash-253	2026-09-02T20:31:38.1237981+09:00	The extracted Slack Socket Mode modules should compile and preserve their existing diagnostic strings	Initial extraction encoded template placeholders incorrectly, producing doubled interpolation braces in diagnostics and listener logging	PASS	CRASH	Core typecheck and focused Slack tests failed during the first extraction; corrected template literals and removed an unused import before rerunning
repository-structure-phase-30-baseline-252	2026-09-02T20:26:15.8135005+09:00	Slack Socket Mode diagnostics and listener lifecycle can be split behind the existing public module	Measured the current 304-line module and ran the frozen import and Slack regressions before implementation	PASS	BASELINE	socket-mode.ts 304 lines; focused directory absent; Core typecheck PASS; Slack Socket Mode and channel matching regression 7/7 PASS
repository-structure-phase-29-evaluator-correction-250	2026-09-02T20:21:00.6234547+09:00	The WorkflowStore facade should remain readable while focused persistence modules stay bounded	Revised the initial facade threshold from 110 to 220 lines because 61 public delegation methods cannot satisfy the smaller threshold without dense formatting; all other evaluator checks remain unchanged	PASS	INCONCLUSIVE	The initial structural threshold was invalid as a readability proxy; the revised shape check passes at facade=197 with all focused modules <=180 lines
repository-structure-phase-29-final-251	2026-09-02T20:22:11.7391643+09:00	Focused WorkflowStore modules should preserve the public class seam and all persistence behavior	Moved workflow, workspace, execution, approval, settings, trigger, discovery, and repair delegation into focused modules without changing methods, repositories, or database behavior	PASS	KEEP	workflow-store.ts 197 lines; focused modules 26-89 lines; Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS
repository-structure-phase-28-baseline-248	2026-09-02T20:07:33.5456657+09:00	Scheduled job registration can be split into proposal and commit modules behind the existing service facade without changing public exports, draft lifetime, confirmation flow, or persistence behavior	Measured job-registration/service.ts at 308 lines and ran the frozen typecheck and 66-test command/job/chat/transport regression before implementation; structural shape fails as intended	PASS	BASELINE	service.ts 308 lines, Core typecheck PASS, command/job/chat/transport regression 66/66.
repository-structure-phase-28-final-249	2026-09-02T20:10:19.6310500+09:00	Focused scheduled-job proposal and commit modules should preserve input validation, target selection, confirmation presentation, pending drafts, workflow persistence, and run-once callbacks behind the existing service path	Moved proposal/preview, commit/persistence, and shared issue/input mapping into focused modules while keeping job-registration/service.ts as a stable re-export facade	PASS	KEEP	service.ts 2 lines/propose 189/commit 96/shared 54, command/job/chat/transport regression 66/66, Core 707 passed with 3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, and diff check PASS.
repository-structure-phase-27-baseline-246	2026-09-02T19:58:53.4348577+09:00	Desktop connection IPC registration can be split by connector family behind registerConnectionHandlers without changing channels, registration order, payload validation, or side effects	Measured connection-handlers.ts at 376 lines and ran the frozen desktop typecheck/build before implementation; structural shape fails as intended while the desktop bundle compiles	PASS	BASELINE	connection-handlers.ts 376 lines, desktop typecheck PASS, desktop production build PASS.
repository-structure-phase-27-final-247	2026-09-02T20:05:11.0684101+09:00	Focused desktop connection-handler modules should preserve all IPC channel registrations and connector-family behavior behind the existing registration facade	Moved Slack, Gmail, local-folder, HTTP, Webhook, RDB, OpenAPI, and MCP registrations into focused modules while preserving the original 18-channel order and handler bodies	PASS	KEEP	connection-handlers.ts 19 lines; focused modules gmail 14/http 45/local-folder 77/mcp 28/openapi 29/rdb 52/slack 122/webhook 49; channel order 18/18 PASS; Core 707 passed with 3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, and diff check PASS.
repository-structure-phase-26-final-245	2026-09-02T19:55:57.9329042+09:00	Focused AxCommandService modules should preserve command validation, access policy, state lifetime, read/session source handling, resource and capability views, context updates, execution explanation, workflow gateways, discovery, repair, and job callbacks behind the existing class facade	Moved service state construction, command catalog, dispatch, reads, resources, context, execution explanation, and Slack callback wiring into focused internal modules without changing the public class or command behavior	PASS	KEEP	service.ts 83 lines/catalog 16/context 66/contracts 46/dispatch 198/execution 79/reads 104/resources 135/state 30, command-service regression 66/66, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, facade import-direction check, and diff check PASS.
repository-structure-phase-24-evaluator-correction-241	2026-09-02T19:32:49.9656946+09:00	The PDF-to-HTML evaluator should invoke tests through the document-engine source discovery root	The first direct unittest invocation failed with ModuleNotFoundError for the top-level write package; changed only the evaluator command to unittest discovery from packages/document-engine/src	PASS	INCONCLUSIVE	Evaluator was invalid before implementation; the corrected command passed the PDF-to-HTML baseline 4/4 and no product code was changed.
repository-structure-phase-24-final-242	2026-09-02T19:32:49.9656946+09:00	Focused PDF-to-HTML modules should preserve conversion contracts, round-trip HTML, cache behavior, engine fallback, and artifact persistence behind the existing facade	Moved result/style contracts, cache validation, round-trip page assembly, engine conversion, and artifact persistence into focused modules without changing the public import seam	PASS	KEEP	pdf_to_html.py 32 lines/cache 40/contracts 73/convert 98/engines 73/roundtrip 117, PDF regression 4/4, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-25-baseline-243	2026-09-02T19:38:27.0229997+09:00	Document worker internals can be split behind the existing worker.py executable seam without changing commands, request/response JSON, validation order, or stdio behavior	Measured worker.py at 314 lines and ran the frozen worker/PDF regression before implementation; structural shape fails as intended while existing worker imports pass	PASS	BASELINE	worker contract 5/5, PDF form 18/18, PDF-to-HTML 4/4, Core typecheck PASS.
repository-structure-phase-25-final-244	2026-09-02T19:38:27.0229997+09:00	Focused worker modules should preserve command routing, ingest fallback, PDF operations, artifact queries, response projection, and stdio behavior behind the existing executable facade	Moved shared projection, ingest, PDF commands, artifact queries, dispatch, and stdio handling into focused modules without changing the public worker seam	PASS	KEEP	worker.py 42 lines/dispatch 28/ingest 56/pdf 92/projection 53/queries 83/stdio 26, worker 5/5, PDF form 18/18, PDF-to-HTML 4/4, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-11-final-215	2026-09-02T17:50:59.7729027+09:00	Focused trigger-engine modules should reduce lifecycle coupling without changing timers, receipts, cursors, push, or poll behavior	Moved cursor/event helpers, push transport lifecycle, push dispatch, and polling behind the existing TriggerEngine facade; preserved public methods and generation guards	PASS	KEEP	trigger-engine.ts 99 lines/events 88/helpers 95/poll 178/push 97, trigger regression 50/50, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-12-baseline-216	2026-09-02T17:53:31.7895909+09:00	Workflow repair internals can be split behind the existing repair.ts seam without changing candidate, rewrite, fingerprint, or dedupe behavior	Measured the 426-line repair module and ran the frozen repair, Work Discovery repair, and repository persistence regression before implementation; structural shape fails as intended while existing repair exports compile	PASS	BASELINE	repair.ts 426 lines, repair regression 7/7, Core typecheck PASS.
repository-structure-phase-12-final-217	2026-09-02T18:00:57.7465606+09:00	Focused workflow repair modules should preserve repair behavior while concentrating contract, suggestion, rewrite, and protection logic behind the existing facade	Moved repair schemas, candidate scoring, expression/document rewrite, and protected fingerprint/dedupe helpers into focused modules without changing the public import seam	PASS	KEEP	repair.ts 19 lines/contract 51/suggest 119/rewrite 194/protection 71, repair regression 7/7, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-13-baseline-218	2026-09-02T18:04:23.9880669+09:00	Database internals can be split behind the existing db.ts seam without changing migration, persistence, backend selection, or readonly behavior	Measured the 414-line database module and ran the frozen migration and workflow repository regression before implementation; structural shape fails as intended while existing database exports compile	PASS	BASELINE	db.ts 414 lines, database regression 10/10, Core typecheck PASS.
repository-structure-phase-14-baseline-220	2026-09-02T18:12:48.7023228+09:00	Command contract internals can be split behind the existing contract.ts seam without changing command definitions, safety, quality, or capability behavior	Measured the 431-line command contract and ran the frozen command/chat/job/schema/transport regression before implementation; structural shape fails as intended while existing command exports compile	PASS	BASELINE	contract.ts 431 lines, command regression 68/68, Core typecheck PASS.
repository-structure-phase-14-final-221	2026-09-02T18:16:29.1375913+09:00	Focused command contract modules should preserve definitions, helpers, safety, quality, and capability behavior behind the existing facade	Moved command definitions, generic result helpers, HTTP safety, quality-log parsing, and capability summaries into focused modules without changing the public import seam	PASS	KEEP	contract.ts 14 lines/definitions 271/values 46/http 36/quality 56/capabilities 26, command regression 68/68, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-15-baseline-222	2026-09-02T18:18:21.7654696+09:00	Condition-expression internals can be split behind the existing condition-expr.ts seam without changing schema, migration, coercion, evaluation, or formatting behavior	Measured the 379-line condition module and ran the frozen condition/workflow/draft/presentation regression before implementation; structural shape fails as intended while existing condition exports compile	PASS	BASELINE	condition-expr.ts 379 lines, condition regression 21/21, Core typecheck PASS.
repository-structure-phase-15-final-223	2026-09-02T18:21:54.9423619+09:00	Focused condition-expression modules should preserve schema, migration, coercion, evaluation, and formatting behavior behind the existing facade	Moved condition schemas, legacy migration, LLM input coercion, normalization, evaluation, and formatting into focused modules without changing the public import seam	PASS	KEEP	condition-expr.ts 20 lines/schema 38/evaluate 74/legacy 46/coerce 174/normalize 28/format 28, condition regression 21/21, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-16-baseline-224	2026-09-02T18:23:42.2099278+09:00	Workflow structure-validation internals can be split behind the existing structure.ts seam without changing issue codes, ordering, cycles, or branch rules	Measured the 378-line structure validator and ran the frozen contract/adapter/schema/presentation regression before implementation; structural shape fails as intended while existing structure exports compile	PASS	BASELINE	structure.ts 378 lines, validation regression 26/26, Core typecheck PASS.
repository-structure-phase-16-final-225	2026-09-02T18:27:55.1953934+09:00	Focused workflow structure-validation modules should preserve issue codes, ordering, cycles, and branch rules behind the existing facade	Moved trigger, action, reference/output, and control-flow validation into focused modules without changing the public import seam	PASS	KEEP	structure.ts 2 lines/references 47/trigger 63/actions 66/validate 213, validation regression 26/26, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-17-baseline-226	2026-09-02T18:29:40.7606595+09:00	Workspace-source internals can be split behind the existing service seam without changing source lifecycle, document projection, manifest, or artifact cleanup behavior	Measured the 372-line workspace-source service and ran the frozen source/repository/document-engine regression before implementation; structural shape fails as intended while existing workspace-source exports compile	PASS	BASELINE	workspace-source-service.ts 372 lines, source regression 17/17, Core typecheck PASS.
repository-structure-phase-17-final-227	2026-09-02T18:33:22.8739736+09:00	Focused workspace-source modules should preserve source lifecycle, document projection, manifest, and artifact cleanup behavior behind the existing service facade	Moved workspace-source contracts, validation/error handling, document projection/bounding, and manifest helpers into focused modules without changing the public import seam	PASS	KEEP	workspace-source-service.ts 251 lines/contracts 33/validation 30/document 91, source regression 17/17, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-18-baseline-228	2026-09-02T18:38:46.4488521+09:00	Runtime output-contract internals can be split behind the existing public seam without changing input inspection, schema validation, output validation, failure helpers, or privacy behavior	Measured output-contract.ts at 317 lines and ran the frozen output-contract/execution/workflow-repair regression before implementation; structural shape fails as intended while existing exports compile	PASS	BASELINE	output-contract.ts 317 lines, contract regression 14/14, Core typecheck PASS.
repository-structure-phase-18-final-229	2026-09-02T18:44:55.0126929+09:00	Focused output-contract modules should preserve input inspection, schema validation, output validation, failure helpers, and privacy behavior behind the existing facade	Moved output-contract types, input inspection/schema validation, output validation, and failure helpers into focused modules without changing the public import seam	PASS	KEEP	output-contract.ts 4 lines/types 33/input 122/output 166/failure 25, contract regression 14/14, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-19-baseline-230	2026-09-02T18:47:12.8589926+09:00	Workflow canvas compiler internals can be split behind the existing builder seam without changing draft conversion, trigger construction, lenient compilation, final IR assembly, or error behavior	Measured builder.ts at 354 lines and ran the frozen canvas/persisted-document/schema regression before implementation; structural shape fails as intended while existing exports compile	PASS	BASELINE	builder.ts 354 lines, compiler regression 30/30, Core typecheck PASS.
repository-structure-phase-19-final-231	2026-09-02T18:52:35.3020453+09:00	Focused workflow canvas compiler modules should preserve draft conversion, trigger construction, lenient compilation, final IR assembly, and error behavior behind the existing facade	Moved capability/error handling, node/trigger conversion, lenient step conversion, and final/partial IR assembly into focused modules without changing the public import seam	PASS	KEEP	builder.ts 3 lines/errors 9/nodes 242/build 130, compiler regression 30/30, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-20-baseline-232	2026-09-02T18:55:35.5144622+09:00	Workspace-chat repository internals can be split behind the existing public seam without changing transcript validation, corrupt-row handling, metadata, queries, mutations, or execution-result idempotency	Measured workspace-chat-repository.ts at 351 lines and ran the frozen chat/bootstrap/command/source/execution regression before implementation; structural shape fails as intended while existing exports compile	PASS	BASELINE	workspace-chat-repository.ts 351 lines, chat regression 42/42, Core typecheck PASS.
repository-structure-phase-20-final-233	2026-09-02T18:58:36.9758232+09:00	Focused workspace-chat modules should preserve contracts, JSON recovery, metadata, queries, mutations, and execution-result idempotency behind the existing facade	Moved chat contracts/JSON parsing, title, memo, queries, and mutations into focused modules without changing the public import seam	PASS	KEEP	workspace-chat-repository.ts 19 lines/contracts 106/title 27/memo 24/queries 75/mutations 107, chat regression 42/42, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-21-baseline-234	2026-09-02T19:01:17.1736071+09:00	Discovery workflow compiler internals can be split behind the existing public seam without changing source dependency collection, input contracts, bindings, permissions, triggers, or rendered IR documents	Measured compile-workflow.ts at 318 lines and ran the frozen discovery/compiler/schema/presentation regression before implementation; structural shape fails as intended while the existing export compiles	PASS	BASELINE	compile-workflow.ts 318 lines, compile regression 34/34, Core typecheck PASS.
repository-structure-phase-21-final-235	2026-09-02T19:04:07.4096654+09:00	Focused discovery workflow compiler modules should preserve source dependency collection, input contracts, bindings, permissions, triggers, and rendered IR documents behind the existing facade	Moved source dependency helpers, source-step creation, input-contract construction, and WorkflowIR assembly into focused modules without changing the public import seam	PASS	KEEP	compile-workflow.ts 1 line/helpers 27/sources 37/input-schema 151/compile 126, compile regression 34/34, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-22-baseline-236	2026-09-02T19:06:33.0019246+09:00	Document-engine client internals can be split behind the existing public seam without changing request/response shapes, worker resolution, stdio behavior, mocks, or registration	Measured engine-client.ts at 352 lines and ran the frozen document-engine/read/write/PDF/design-tool regression before implementation; structural shape fails as intended while existing exports compile	PASS	BASELINE	engine-client.ts 352 lines, engine regression 32/32, Core typecheck PASS.
repository-structure-phase-22-crash-237	2026-09-02T19:10:44.1478775+09:00	The extracted stdio client should resolve worker helpers from the focused engine-client module	Initial extraction imported worker path helpers from the parent paths module; Core typecheck failed and 2 focused integration tests failed with defaultWorkerScript not a function. Corrected the relative import before the final experiment	PASS	CRASH	Observed during the phase and fixed before final verification; no failed code remains.
repository-structure-phase-22-final-238	2026-09-02T19:11:38.3305896+09:00	Focused document-engine client modules should preserve request/response shapes, worker resolution, stdio behavior, mocks, and registration behind the existing facade	Moved client contracts, worker path resolution, stdio transport, mock behavior, and client registration into focused modules without changing the public import seam	PASS	KEEP	engine-client.ts 15 lines/contracts 34/paths 53/stdio 148/mock 102/registry 13, engine regression 32/32, Core 707 passed/3 skipped, eval 11/11, document-engine 37/37, desktop typecheck/build, dependency-direction, and diff check PASS.
repository-structure-phase-23-crash-239	2026-09-02T19:23:22.7170098+09:00	The extracted workflow argument module should reuse the bounded UI presentation schema	Initial extraction referenced AxUiPresentationSchema without importing it from the interaction module; Core typecheck failed and four command suites failed during module loading	PASS	CRASH	Observed during the phase and fixed before final verification; no failed code remains.
repository-structure-phase-71-baseline-340	2026-09-03T01:19:29.0022044+09:00	Workflow schema definitions can be split into focused limits, trigger, step, workflow, and parsing modules without changing behavior	Measured workflow/schema.ts at 182 lines and ran the frozen workflow schema/action-definition/persisted-document/discovery-compile/evaluation regression before implementation; structural shape fails as intended while the existing facade compiles	PASS	BASELINE	workflow/schema.ts 182 lines; focused schema directory absent; focused regression 28/28; Core typecheck PASS.
repository-structure-phase-71-final-341	2026-09-03T01:23:27.6223189+09:00	Focused workflow schema modules should preserve limits, trigger/step/workflow Zod schemas, parse normalization, and validation behavior behind the existing facade	Moved limits, trigger schemas, step schemas, WorkflowIR schema, and parse/validation helpers into focused modules without changing public exports or behavior	PASS	KEEP	workflow/schema.ts 5 lines; limits 3/triggers 46/steps 68/workflow 35/parse 41; focused regression 28/28; Core 707 passed with 3 skipped; eval 11/11; document-engine 37/37; desktop typecheck/build; dependency direction and git diff --check PASS.
repository-structure-phase-72-baseline-342	2026-09-03T01:27:05.2368231+09:00	Document-engine type contracts can be split into focused ingest, transport, PDF conversion, and PDF form modules without changing public type behavior	Measured document-engine/types.ts at 186 lines and ran the frozen document-engine client/PDF/artifact/design-tool regression before implementation; structural shape fails as intended while existing type consumers compile	PASS	BASELINE	document-engine/types.ts 186 lines; focused type directory absent; focused regression 21/21; Core typecheck PASS.
repository-structure-phase-72-final-343	2026-09-03T01:30:08.5742586+09:00	Focused document-engine type modules should preserve ingest, transport, PDF conversion, and PDF form contracts behind the existing facade	Moved ingest/result, request/response, PDF conversion, and PDF form interfaces into focused type modules without changing public exports or runtime behavior	PASS	KEEP	document-engine/types.ts 3 lines; ingest 58/transport 12/pdf 114; focused regression 21/21; Core 707 passed with 3 skipped; eval 11/11; document-engine 37/37; desktop typecheck/build; dependency direction and git diff --check PASS.
repository-structure-phase-73-baseline-344	2026-09-03T01:32:40.6305107+09:00	Canvas graph validation can be split into focused structure, reference, and semantic graph modules without changing behavior	Measured validate-graph.ts at 191 lines and ran the frozen canvas compile/draft/revision/slot regression before implementation; structural shape fails as intended while the existing validator imports compile	PASS	BASELINE	validate-graph.ts 191 lines; focused validation directory absent; canvas regression 18/18; Core typecheck PASS.
repository-structure-phase-73-final-345	2026-09-03T01:36:26.2304803+09:00	Focused canvas graph validation modules should preserve structural checks, reference validation, notification branching, action references, and issue ordering behind the existing facade	Moved structure, reference extraction/validation, and semantic graph rules into focused modules without changing the builder seam or user-visible validation behavior	PASS	KEEP	validate-graph.ts 4 lines; types 4/structure 41/references 75/graph 93; focused regression 18/18; Core 707 passed with 3 skipped; eval 11/11; document-engine 37/37; desktop typecheck/build; dependency direction and git diff --check PASS.
repository-structure-phase-74-baseline-346	2026-09-03T01:38:30.0310192+09:00	Scheduler cron matching can be split from lifecycle execution behind the existing facade without changing behavior	Measured runtime/scheduler.ts at 196 lines and ran the frozen scheduler/cron/capability-graph regression before implementation; structural shape fails as intended while existing callers compile	PASS	BASELINE	runtime/scheduler.ts 196 lines; focused scheduler directory absent; regression 30/30; Core typecheck PASS.
repository-structure-phase-74-final-347	2026-09-03T01:42:31.3248317+09:00	Focused scheduler modules should preserve cron/timezone matching, scheduler lifecycle, retry behavior, generation guards, and persisted settings behind the existing facade	Moved cron matching and timezone extraction into a focused module while keeping scheduler lifecycle and execution behavior in the service module without changing public exports	PASS	KEEP	runtime/scheduler.ts 3 lines; cron 59/service 138; focused regression 30/30; Core 707 passed with 3 skipped; eval 11/11; document-engine 37/37; desktop typecheck/build; dependency direction and git diff --check PASS.
repository-structure-phase-75-baseline-348	2026-09-03T01:46:04.2776945+09:00	Workflow repair rewriting can be split into focused expression, document, step, contract, and application modules without changing behavior	Measured workflow/repair/rewrite.ts at 194 lines and ran the frozen workflow repair and historical replay regression before implementation; structural shape fails as intended while existing callers compile	PASS	BASELINE	workflow/repair/rewrite.ts 194 lines; focused rewrite directory absent; repair regression 5/5; Core typecheck PASS.
repository-structure-phase-75-final-349	2026-09-03T01:50:11.3101629+09:00	Focused repair rewrite modules should preserve expression renaming, document JSON rewriting, action/contract rewriting, candidate validation, and protected workflow fields behind the existing facade	Moved expression, document, step/contract, and candidate application responsibilities into focused modules without changing repair/replay behavior or public exports	PASS	KEEP	repair/rewrite.ts 1 line; expression 102/apply 40/document 28/step 34; focused regression 5/5; Core 707 passed with 3 skipped; eval 11/11; document-engine 37/37; desktop typecheck/build; dependency direction and git diff --check PASS.
repository-structure-phase-76-baseline-350	2026-09-03T01:55:18.1565444+09:00	RDB client responsibilities can be split behind the existing facade without changing table policy, driver behavior, catalog queries, or row reads	Measured modules/rdb/client.ts at 188 lines and ran the frozen RDB client/connector/config regression before implementation; structural shape fails as intended while existing callers compile	PASS	BASELINE	client.ts 188 lines; focused client directory absent; RDB client/connector/config tests 10/10; Core typecheck PASS.
repository-structure-phase-76-final-351	2026-09-03T01:59:44.8152610+09:00	Focused RDB client modules should preserve table-reference validation, allowlists, driver adapters, catalog queries, row limits, read-only SQLite behavior, and public exports	Moved table types/quoting, policy filtering, driver opening, table catalog, and row reads into focused modules behind client.ts without changing callers or behavior	PASS	KEEP	client.ts facade 6 lines; focused modules 14-48 lines; RDB client/connector/config tests 10/10; Core 707 passed with 3 skipped; eval 11/11; document-engine 37/37; desktop typecheck/build; dependency direction and git diff --check PASS.
repository-structure-phase-77-baseline-352	2026-09-03T02:02:23.0037273+09:00	Repair command gateway responsibilities can be split behind the existing facade without changing validation, replay safety, version checks, or persistence ordering	Measured repair-gateway.ts at 182 lines and ran the frozen command service regression before implementation; structural shape fails as intended while existing callers compile	PASS	BASELINE	repair-gateway.ts 182 lines; focused repair-gateway directory absent; command service tests 26/26; Core typecheck PASS.
repository-structure-phase-77-final-353	2026-09-03T02:06:07.2214241+09:00	Focused repair command modules should preserve validation, replay gating, workflow version checks, persistence ordering, result statuses, and error messages	Moved shared contracts/formatting and list/inspect/apply/reject handlers into focused modules behind repair-gateway.ts without changing command service behavior or public imports	PASS	KEEP	repair-gateway.ts facade 23 lines; focused modules 14-69 lines; command service tests 26/26; Core 707 passed with 3 skipped; eval 11/11; document-engine 37/37; desktop typecheck/build; dependency direction and git diff --check PASS.
repository-structure-phase-78-baseline-354	2026-09-03T02:07:53.8229742+09:00	Webhook listener responsibilities can be split behind the existing facade without changing request validation, security, event payloads, or server lifecycle	Measured triggers/webhook/listener.ts at 197 lines and ran the frozen webhook listener/security regression before implementation; structural shape fails as intended while existing callers compile	PASS	BASELINE	listener.ts 197 lines; focused listener directory absent; webhook listener/security tests 20/20; Core typecheck PASS.
